SecurityCode,StockName
030688,臺股指國票3A購08
030689,東元富邦3B購01
03068P,臺股指國票41售03
030690,冠德富邦3B購01
030691,陽明富邦3C購01
030692,奇鋐富邦42購01
030693,聯鈞富邦43購02
030694,材料富邦3B購03
030695,華孚富邦3C購01
030696,華新統一46購01
030697,第一銅統一44購01
030698,海悅統一44購04
030699,台光電統一44購02
03069P,台灣50凱基43售10
030700,一詮統一48購01
030701,國產統一43購01
030702,國產統一44購01
030703,國產統一47購02
030704,冠德統一43購01
030705,冠德統一44購02
030706,冠德統一44購03
030707,冠德統一47購02
030708,華固統一43購01
030709,華固統一44購02
03070P,T50正2凱基3C售07
030710,華固統一46購01
030711,漢翔統一44購03
030712,奇鋐統一44購06
030713,奇鋐統一44購07
030714,融程電統一46購01
030715,聯鈞統一47購01
030716,三福化統一47購01
030717,保瑞統一4C購02
030718,天虹統一47購01
030719,元石油凱基3A購02
03071P,華固凱基3C售01
030720,道瓊反凱基44購01
030721,FBNQ2X凱基3B購03
030722,中石化凱基3B購01
030723,八貫凱基3A購01
030724,勤美凱基3B購01
030725,華新凱基3A購06
030726,華榮凱基3C購03
030727,華榮凱基3C購04
030728,美時凱基3A購06
030729,川湖凱基3A購08
03072P,智原凱基3C售07
030730,長榮鋼凱基3B購01
030731,台達電凱基42購01
030732,國巨凱基3A購08
030733,華泰凱基3A購04
030734,台積電凱基3A購29
030735,台積電凱基3A購30
030736,台積電凱基3B購16
030737,台積電凱基3B購17
030738,大同凱基48購01
030739,大同凱基48購02
03073P,世紀鋼凱基3C售11
030740,大同凱基4C購04
030741,技嘉凱基3A購09
030742,台光電凱基3A購11
030743,威盛凱基3C購03
030744,億光凱基3A購03
030745,國產凱基3A購03
030746,長榮航凱基3C購02
030747,漢翔凱基3B購02
030748,大立光凱基3A購07
030749,奇鋐凱基3B購06
03074P,美費半群益3C售04
03074X,元展69
030750,智原凱基3A購08
030751,緯創凱基3C購09
030752,創意凱基3B購04
030753,辛耘凱基3A購07
030754,洋華凱基3A購05
030755,健策凱基3A購02
030756,定穎控凱基3A購04
030757,瑞智凱基3A購02
030758,材料凱基3B購09
030759,盛群凱基3B購01
03075P,德律群益3C售02
